embedding_x,embedding_y
14.938428,1.6202
6.812539,1.6883286
0.17818207,-5.7756233
-15.290986,4.6254606
10.784216,10.759123
5.3070025,-6.648832
2.8526847,-10.140732
7.004415,-6.1953073
4.365945,-11.111965
-15.1684065,3.6859703
14.280495,1.7127261
4.0943055,-0.20918998
4.0762653,-11.380022
11.083499,9.064195
7.084083,-9.452202
4.142046,-11.34766
-5.2271686,16.03294
0.40750894,-12.320657
14.26258,1.6487156
3.9139082,-11.148599
3.6302042,-10.945647
0.5085989,-11.501132
6.485006,-7.171891
1.3886607,-11.2272005
6.5390844,-9.448454
14.271193,1.6630211
7.892465,-10.59929
-14.806773,6.587748
-14.9612,3.7593155
14.473674,1.9171972
4.3730726,-10.344016
8.1968775,-10.028213
0.021093933,-12.129772
14.314924,1.7131879
10.805134,10.726012
1.1612922,-10.973704
4.102187,-11.370425
5.251873,-6.2238884
5.1895046,-9.333271
14.53146,1.9104661
3.6456826,-11.118828
-6.3263016,11.737497
5.6764774,-9.260051
11.185646,8.131593
5.8055053,2.0648906
8.650831,-8.272643
14.4797325,1.9359648
4.434249,-11.087513
4.7163434,0.12703674
-7.0253654,12.466518
-8.439741,-7.485189
-15.019912,5.6662364
4.989444,-8.501913
0.1942077,-5.768589
0.6762046,-5.291544
14.2750435,1.670394
-8.327886,-7.523182
8.104249,-10.598234
3.7694778,-10.701148
-6.9915175,12.435378
14.268782,1.6612883
8.598558,-8.841642
0.9961638,-11.863337
14.291003,1.7013772
0.638441,-12.138421
14.357254,1.8069586
4.4121537,-11.127495
-15.051082,5.489127
4.4636602,-11.047813
15.346354,-0.11188483
6.6920075,-9.493972
3.9621446,-10.056136
14.235348,1.6997956
14.286431,1.6822934
14.270285,1.6604562
-14.492988,2.9110825
11.022002,9.42913
4.09438,-10.733258
3.2866578,-10.277026
4.5784607,-5.4101205
14.272089,1.6624922
-14.613705,3.3647103
14.521239,1.6601722
14.484277,1.9031667
10.959631,10.306675
0.3912179,-4.613393
0.12187126,-3.292999
6.036181,2.3382893
3.792842,-11.214538
7.1054235,-9.644659
-4.7296095,9.902641
